Sample ID,Percent missingness (%),Probability of membership  to cluster 1,Probabiltiy of membership to cluster 2,Probability of membership to cluster 3,Probability of membership to cluster 4,Assignment to cluster with highest probability of membership,Assignment to cluster for samples with over 80% membership to a cluster
PB_Y,29,0,0.953,0.035,0.012,2,2
NT_200078,3,0,0,1,0,3,3
NT_200102,27,0,0.958,0.002,0.04,2,2
NT_200150,19,0,0,1,0,3,3
2015_2016,0,0,0,1,0,3,3
NT_200079,13,0,0,1,0,3,3
NT_200119,25,0,0.368,0.049,0.583,4,NA
NT_200135,28,0,0.003,0.995,0.002,3,3
NT_200143,25,0,0.003,0.997,0,3,3
NT_200151,29,0,0.879,0.002,0.119,2,2
NT_200072_B,11,0,0,1,0,3,3
NT_200080,16,0,0.001,0.999,0,3,3
NT_200088,20,0,0.992,0,0.008,2,2
NT_200152,27,0,0,1,0,3,3
NT_200160,0,0,0,1,0,3,3
NT_200121,8,0,0,1,0,3,3
NT_200137,8,0,0,1,0,3,3
NT_200145,22,0,0,1,0,3,3
NT_200074,24,0,0.01,0.99,0,3,3
NT_200082,20,0,0,1,0,3,3
NT_200098,16,0,0.001,0.999,0,3,3
NT_200099,22,0,1,0,0,2,2
NT_200115,0,0,0,1,0,3,3
NT_200123,9,0,0,1,0,3,3
NT_200131,0,0,0,1,0,3,3
NT_200139,28,0,0.709,0.036,0.254,2,NA
NT_200163,15,0,1,0,0,2,2
NT_200116,1,0,0,1,0,3,3
NT_200124,24,0,0.002,0.998,0,3,3
NT_200132,16,0,0.011,0.989,0,3,3
NT_200174,23,0,1,0,0,2,2
NT_200182,4,0,0,1,0,3,3
NT_200198,21,0,0.391,0.575,0.034,3,NA
NT_200206,21,0,0.742,0.235,0.022,2,NA
NU_L41487,0,1,0,0,0,1,1
NU_L41497,0,1,0,0,0,1,1
NT_200167,0,0,0,1,0,3,3
NT_200215,13,0,0,1,0,3,3
NU_L41470,0,1,0,0,0,1,1
NU_L41498,0,1,0,0,0,1,1
NU_L41515,0,0.813,0.187,0,0,1,1
NT_200184,0,0,0,1,0,3,3
NT_200200,20,0,0.999,0.001,0,2,2
NT_200208,0,0,0.002,0.996,0.002,3,3
NT_200224,20,0,0.008,0.992,0,3,3
NU_L41471,0,1,0,0,0,1,1
NU_L41516,0,1,0,0,0,1,1
NT_200185,6,0,0,1,0,3,3
NT_200193,14,0,0.972,0.024,0.005,2,2
NT_200217,13,0,0.002,0.998,0,3,3
NU_L41491,11,0.391,0.609,0,0,2,NA
NU_L41500,0,1,0,0,0,1,1
NU_L41517,0,0,0.975,0,0.025,2,2
NT_200170,1,0,0,1,0,3,3
NT_200178,0,0,0,1,0,3,3
NT_200186,8,0,0.809,0.086,0.105,2,2
NT_200194,27,0,0.92,0.069,0.012,2,2
NT_200210,12,0,0.088,0.912,0,3,3
NT_200218,24,0,1,0,0,2,2
NU_L41493,0,0,1,0,0,2,2
NU_L41504,8,1,0,0,0,1,1
NT_200179,11,0,0.002,0.998,0,3,3
NT_200187,5,0,0.993,0.007,0,2,2
NT_200195,12,0,0,1,0,3,3
NT_200203,28,0,0.995,0.003,0.001,2,2
NT_200219,15,0,0,1,0,3,3
NU_L41061,27,0.02,0.979,0.001,0,2,2
NU_L41494,0,0,1,0,0,2,2
NU_L41505,0,1,0,0,0,1,1
NU_L41524,1,0,1,0,0,2,2
NT_200180,16,0,0.997,0.002,0,2,2
NT_200188,21,0,0.979,0.021,0,2,2
NT_200196,4,0,0,1,0,3,3
NT_200212,7,0,0,1,0,3,3
NT_200220,9,0,0.001,0.999,0,3,3
NU_L41453,0,1,0,0,0,1,1
NU_L41495,15,0.033,0.967,0,0,2,2
NU_L41511,0,1,0,0,0,1,1
NU_L41526,0,1,0,0,0,1,1
NT_200181,0,0,0,1,0,3,3
NT_200197,23,0,0.993,0.002,0.005,2,2
NT_200205,0,0,0.001,0.999,0,3,3
NT_200213,8,0,0,1,0,3,3
NU_L41486,0,1,0,0,0,1,1
NU_L41513,0,1,0,0,0,1,1
NU_L41530,0,1,0,0,0,1,1
NU_2_C2,10,0,0.991,0.003,0.006,2,2
NT_100737,0,0,0,1,0,3,3
NU_11_C2,20,0,0.002,0.998,0,3,3
NU_7_C3,9,0.001,0.009,0.99,0,3,3
NU_CH-016-1921_C3,4,0.998,0.002,0,0,1,1
NU_CH-024-1921_C3,7,0,0.994,0,0.006,2,2
NU_L41532,0,1,0,0,0,1,1
F-C2,22,0,0.999,0,0.001,2,2
NU_29_C2,10,0,0.998,0,0.001,2,2
G-C2,22,0,0.996,0,0.003,2,2
O_C2,21,0,0.973,0.022,0.005,2,2
NU_CH-018-1921_C3,26,0,0.963,0.01,0.028,2,2
NU_CH-026-1921_C3,9,0.001,0.988,0.011,0,2,2
NU_L41569,0,1,0,0,0,1,1
NU_22_C2,24,0,0.996,0.002,0.002,2,2
H_C2,22,0,0.999,0,0,2,2
NU_CH-019-1921_C3,3,1,0,0,0,1,1
NT_100749,0,0,0,1,0,3,3
NU_L41575,0,1,0,0,0,1,1
NU_23_C2,6,0,0.973,0.027,0,2,2
I_C2,7,0,0.054,0.94,0.006,3,3
NT_100750,0,0,0,1,0,3,3
sample_1_tagged,0,0.932,0.068,0,0,1,1
NU_8_C2,7,0,0.285,0.715,0,3,NA
NU_24_C2,3,0,0,0,1,4,4
NU_4_C3,3,1,0,0,0,1,1
NT_100751,0,0,0,1,0,3,3
NU_1_C2,11,0,0.001,0.999,0,3,3
NU_5_C3,12,0.997,0.003,0,0,1,1
NU_CH-014-1921_C3,12,0.11,0.607,0,0.283,2,NA
NT_100756,0,0,0.009,0.853,0.138,3,3
NT_100758,0,0,0,1,0,3,3
NT_100775,0,0,0,1,0,3,3
NU_CH-001-1819,3,1,0,0,0,1,1
61889,0,0,0,1,0,3,3
NT_100768,0,0,0,1,0,3,3
59107,28,0,0.958,0.041,0,2,2
59209,20,0,0.999,0,0,2,2
61890,29,0,0.998,0.001,0,2,2
CJB001,11,0,0.819,0.181,0,2,2
NT_100760,0,0,0,1,0,3,3
NT_100785,0,0,0,1,0,3,3
NU_CH-003-1819,0,1,0,0,0,1,1
59108,16,0,0.084,0.916,0,3,3
61883,4,0,0,1,0,3,3
59107_TEST,15,0,0.992,0.008,0,2,2
NT_100761,0,0,0,1,0,3,3
NT_100778,0,0,0,1,0,3,3
NU_CH-004-1819,16,0.004,0.994,0.001,0.002,2,2
59203,0,0,0,1,0,3,3
59211,6,0,0,1,0,3,3
NT_200067,28,0,0.937,0.035,0.028,2,2
NT_100762,0,0,0,1,0,3,3
NT_100779,0,0,0,1,0,3,3
59102,19,0,0.167,0.833,0,3,3
59110,0,0,1,0,0,2,2
59212,0,0,0.082,0.894,0.024,3,3
61885,0,0,0.996,0.004,0,2,2
61893,0,0,0.013,0.987,0,3,3
NT_200069,23,0,0,1,0,3,3
NT_100763,0,0,0,1,0,3,3
NT_100772,0,0,0,1,0,3,3
NT_100780,0,0,0,1,0,3,3
NT_100788,0,0,0,1,0,3,3
59213,0,0,0.008,0.992,0,3,3
61886,0,0,0.001,0.999,0,3,3
61894,0,0,0.157,0.843,0,3,3
NT_100773,0,0,0.652,0.203,0.144,2,NA
NT_100781,0,0,0,1,0,3,3
NU_CH-007-1920,0,1,0,0,0,1,1
59206,0,0,0.266,0.734,0,3,NA
61887,0,0,0.101,0.899,0,3,3
61895,0,0,0.001,0.999,0,3,3
NT_200071,1,0,0,1,0,3,3
NT_100774,0,0,0.023,0.977,0,3,3
NT_100782,0,0,0,1,0,3,3
NT_100793,0,0,0,1,0,3,3
NU_CH-008-1920,0,1,0,0,0,1,1
59105,0,0,0.003,0.997,0,3,3
61888,9,0,0.835,0.165,0,2,2
NT_3000001,27,0,0.728,0.132,0.14,2,NA
27_3,0,0,1,0,0,2,2
27_12,25,0,0,1,0,3,3
27_#15_50uL,19,0,0,1,0,3,3
27_20,21,0,0.993,0,0.007,2,2
27_29,26,0,0.999,0.001,0.001,2,2
27_21,0,0,0.156,0.833,0.011,3,3
27_30,0,0,1,0,0,2,2
NU_A003,7,0,1,0,0,2,2
27_6,10,0,0.007,0.993,0,3,3
27_31,4,0,1,0,0,2,2
NU_A004,23,0.001,0.998,0,0.001,2,2
27_7,0,0.001,0.909,0.09,0,2,2
27_24B,0,0,0.997,0,0.003,2,2
NU_A005,9,0,1,0,0,2,2
27_25,1,0,1,0,0,2,2
27_17,28,0,0.986,0,0.014,2,2
27_34,0,0,1,0,0,2,2
27_11,0,0,1,0,0,2,2
27_27,29,0,0.998,0.001,0.001,2,2
PB7_FP_1,22,0,0.989,0,0.011,2,2
PB1_FP_5,26,0,0.995,0,0.004,2,2
MC-47-2016,0,0,0,0,1,4,4
MC-53-2016,0,0,0,0,1,4,4
MC-60-2016,0,0,0.001,0,0.999,4,4
MC-97-2016,0,0,0,0,1,4,4
MC-90-2016,0,0,0.999,0,0.001,2,2
MC-70-2016,0,0,0,0,1,4,4
MC-72-2016,0,0,1,0,0,2,2
MC-28-2016,0,0,1,0,0,2,2
GB-2016-4,0,0,0.806,0,0.194,2,2
MC-43-2016,0,0,0,0,1,4,4
MC-65-2016,2,0,0,1,0,3,3
MC-81-2016,0,0,0,0,1,4,4
MC-98-2016,0,0,0,0,1,4,4
MC-92-2016,0,0,1,0,0,2,2
MC-88-2016,0,0,0,0,1,4,4
MC-94-2016,0,0,0,0,1,4,4
MC-33-2016,0,0,0.002,0,0.998,4,4
GB-2016-5,0,0,0.997,0,0.003,2,2
MC-44-2016,0,0,0,0,1,4,4
MC-52-2016,0,0,0.092,0,0.908,4,4
MC-82-2016,0,0,0,0,1,4,4
MC-79-2016,0,0,0,0,1,4,4
MC-95-2016,0,0,0,0,1,4,4
MC-300-2016,0,0,0,0,1,4,4
MC-26-2016,0,0,1,0,0,2,2
MC-30-2016,0,0,0.606,0,0.394,2,NA
MC-34-2016,0,0,0.991,0,0.009,2,2
GB-2016-6,0,0,1,0,0,2,2
MC-46-2016,26,0,0.936,0.001,0.063,2,2
MC-58-2016,0,0,0,0,1,4,4
MC-83-2016,0,0,0.954,0.001,0.045,2,2
MC-120-2016,0,0,0,0,1,4,4
MC-73-2016,0,0,0,0,1,4,4
MC-108-2016,0,0,0,0,1,4,4
MC-107-2016,1,0,0,0,1,4,4
MC-27-2016,0,0,0.923,0,0.077,2,2
MC-71-2016,0,0,1,0,0,2,2
MC-96-2016,0,0,0.989,0.001,0.011,2,2
GB-2016-7,0,0,1,0,0,2,2
MC-50-2016,0,0,0,0,1,4,4
MC-57-2016,0,0,1,0,0,2,2
MC-66-2016,0,0,0,0,1,4,4
MC-68-2016,0,0,0.496,0,0.504,4,NA
MC-89-2016,14,0,0,0,1,4,4
MC-19-2016,0,0,0,0,1,4,4
GB-2016-8,18,0,0.926,0.004,0.07,2,2
MC-74-2016,0,0,0,0,1,4,4
MC-54-2016,0,0,0,0,1,4,4
MC-100-2016,0,0,0,0,1,4,4
MC-91-2016,0,0,0,0,1,4,4
MC-69-2016,29,0,0.06,0,0.94,4,4
MC-20-2016,0,0,0,0,1,4,4
MC-36-2016,0,0,0.999,0,0.001,2,2
GB-2016-9,0,0,1,0,0,2,2
MC-49-2016,0,0,0,0,1,4,4
MC-63-2015,0,0,0.001,0,0.999,4,4
MC-77-2016,0,0,0,0,1,4,4
MC-59-2016,0,0,0,0,1,4,4
MC-93-2016,0,0,0,0,1,4,4
MC-115-2016,0,0,0,0,1,4,4
MC-117-2016,11,0,0,0,1,4,4
MC-37-2016,0,0,0.842,0,0.158,2,2
GB-2016-2,0,0,1,0,0,2,2
GB-2016-10,0,0,1,0,0,2,2
MC-48-2016,0,0,0,0,1,4,4
MC-76-2016,0,0,0.003,0,0.997,4,4
MC-67-2016,0,0,0,0,1,4,4
MC-99-2016,0,0,0,0,1,4,4
MC-116-2016,0,0,0.999,0,0,2,2
MC-119-2016,0,0,0.001,0,0.999,4,4
MC-112-2016,15,0,0,0,1,4,4
MC-32-2016,0,0,1,0,0,2,2
MC-23-2016,0,0,0.998,0,0.002,2,2
GB-2016-3,0,0,1,0,0,2,2
GB-2016-11,0,0,1,0,0,2,2
MC-2014-72,16,0,0.999,0,0.001,2,2
MC-2014-07,0,0,0.001,0,0.999,4,4
MC-2014-104,0,0,0,0,1,4,4
MC-2014-111,0,0,0,0,1,4,4
MC-2014-133,0,0,0.605,0.395,0,2,NA
MC-2014-142,0,0,0,0,1,4,4
MC-2014-166,0,0,0,0,1,4,4
MC-2014-23,0,0,0,0,1,4,4
MC-2014-31,0,0,0,0,1,4,4
MC-2014-168,18,0,0.272,0,0.728,4,NA
MC-2014-08,0,0,0.004,0,0.996,4,4
MC-2014-105,0,0,0,0,1,4,4
MC-2014-112,0,0,0,0,1,4,4
MC-2014-127,0,0,0.943,0,0.057,2,2
MC-2014-134,0,0,0.002,0,0.998,4,4
MC-2014-167,0,0,0.937,0,0.063,2,2
MC-2014-24,0,0,0.001,0,0.999,4,4
MC-2014-33,0,0,0,0,1,4,4
MC-2014-169,24,0,0.991,0.009,0,2,2
MC-2014-01,0,0,0,0,1,4,4
MC-2014-117,0,0,1,0,0,2,2
MC-2014-135,0,0,0.988,0,0.012,2,2
MC-2014-17,0,0,0,0,1,4,4
MC-2014-25,0,0,0,0,1,4,4
MC-2014-34,0,0,0,0,1,4,4
MC-2014-02,0,0,0,0,1,4,4
MC-2014-107,0,0,0,0,1,4,4
MC-2014-15,0,0,0,0,1,4,4
MC-2014-18,0,0,0.821,0,0.179,2,2
MC-2014-26,0,0,0,0,1,4,4
MC-2014-36_B,0,0,1,0,0,2,2
MC-2014-52,15,0,0.988,0.007,0.005,2,2
MC-2014-03,0,0,0.283,0,0.717,4,NA
MC-2014-100,0,0,0,0,1,4,4
MC-2014-12,0,0,0,0,1,4,4
MC-2014-137,0,0,0.994,0,0.006,2,2
MC-2014-16,0,0,0.009,0,0.991,4,4
MC-2014-19,0,0,0,0,1,4,4
MC-2014-27,0,0,0,0,1,4,4
MC-2014-37,0,0,0,0,1,4,4
MC-2014-101,0,0,1,0,0,2,2
MC-2014-109,0,0,0,0,1,4,4
MC-2014-123,0,0,1,0,0,2,2
MC-2014-130,0,0,1,0,0,2,2
MC-2014-20,0,0,0,0,1,4,4
MC-2014-28,0,0,0,0,1,4,4
MC-2014-38,0,0,0.695,0,0.305,2,NA
MC-2014-05,0,0,0,0,1,4,4
MC-2014-102,0,0,0.999,0,0.001,2,2
MC-2014-113_B,0,0,0,0,1,4,4
MC-2014-124,0,0,0,0,1,4,4
MC-2014-131,0,0,0.997,0,0.003,2,2
MC-2014-14,0,0,0,0,1,4,4
MC-2014-164,0,0,0,0,1,4,4
MC-2014-21,0,0,0,0,1,4,4
MC-2014-29,0,0,0,0,1,4,4
MC-2014-39,0,0,0,0,1,4,4
MC-2014-06,0,0,0,0,1,4,4
MC-2014-103,0,0,0,0,1,4,4
MC-2014-110,0,0,0,0,1,4,4
MC-2014-132,0,0,1,0,0,2,2
MC-2014-140,0,0,0,0,1,4,4
MC-2014-165,0,0,0,0,1,4,4
MC-2014-30,0,0,0,0,1,4,4
GB-2017-196,0,0,1,0,0,2,2
GB-2017-201,0,0,0.871,0,0.129,2,2
GB-2017-211,0,0,1,0,0,2,2
GB-2017-34,0,0,0.986,0.014,0,2,2
GB-2017-44,0,0,1,0,0,2,2
L23597,0,0,1,0,0,2,2
L25121,0,0,0.996,0.004,0,2,2
L23592,0,0,1,0,0,2,2
L25053,0,0,1,0,0,2,2
L24149,0,0,0,0,1,4,4
GB-2017-228,0,0,1,0,0,2,2
GB-2017-234,0,0,0,0,1,4,4
GB-2017-208,15,0,0.999,0,0,2,2
GB-2017-41,0,0,1,0,0,2,2
L25144,0,1,0,0,0,1,1
L25152,0,0,0.114,0,0.886,4,4
GB-2017-214,25,0,0.958,0,0.042,2,2
L23610,0,0,1,0,0,2,2
L25151,0,0,0.504,0,0.496,2,NA
L19508,0,0,0,0,1,4,4
GB-2017-230,0,0,0.919,0.001,0.08,2,2
GB-2017-231,0,0,1,0,0,2,2
GB-2017-213,0,0,1,0,0,2,2
GB-2017-187,0,0,1,0,0,2,2
GB-2017-7,0,0,1,0,0,2,2
GB-2017-42,0,0.004,0.996,0,0,2,2
L23622,0,0,1,0,0,2,2
L20484,0,0,0.987,0,0.013,2,2
L25048,0,0,0.436,0,0.564,4,NA
L24197,0,0,1,0,0,2,2
GB-2017-195,0,0,1,0,0,2,2
GB-2017-203,0,0,1,0,0,2,2
GB-2017-188,1,0,1,0,0,2,2
GB-2017-10,0,0,1,0,0,2,2
GB-2017-2,0,0,1,0,0,2,2
L23521,13,0,1,0,0,2,2
GB-2017-232,11,0,0.971,0,0.029,2,2
L25115,0,1,0,0,0,1,1
L24097,0,0,1,0,0,2,2
L21892,0,0,0.998,0,0.002,2,2
GB-2017-194,0,0,1,0,0,2,2
GB-2017-200,0,0,0.021,0.005,0.974,4,4
GB-2017-240,0,0,1,0,0,2,2
GB-2017-192,0,0.029,0.116,0.852,0.004,3,3
GB-2017-9,0,0,1,0,0,2,2
GB-2017-1,0,0,1,0,0,2,2
L25019,0,0,1,0,0,2,2
L25127,0,0.025,0.96,0,0.014,2,2
GB-2017-216,24,0,0.972,0,0.028,2,2
L25148,0,0,0.999,0,0.001,2,2
L25135,0,0.007,0.993,0,0,2,2
L23651,0,0,0,0,1,4,4
GB-2017-239,0,0,1,0,0,2,2
GB-2017-191,0,0,0.612,0.388,0,2,NA
GB-2017-193,0,0,1,0,0,2,2
GB-2017-57,0,0,0.999,0.001,0,2,2
GB-2017-46,0,0,1,0,0,2,2
L25051,0,0,1,0,0,2,2
L24139,0,0,1,0,0,2,2
L23602,0,1,0,0,0,1,1
L25132,0,0,0.994,0,0.006,2,2
L21890,0,0,0.166,0.305,0.528,4,NA
GB-2017-235,0,0,1,0,0,2,2
GB-2017-197,0,0,1,0,0,2,2
GB-2017-33,0,0,1,0,0,2,2
GB-2017-43,0,0,1,0,0,2,2
L20544,0,0,1,0,0,2,2
L25142,0,1,0,0,0,1,1
L25020,0,0,1,0,0,2,2
L20530,0,0,0.998,0.001,0.002,2,2
L25036,0,0,1,0,0,2,2
GB-2017-207,0,0,1,0,0,2,2
GB-2017-199,0,0,0.859,0,0.141,2,2
GB-2017-47,0,0,1,0,0,2,2
GB-2017-45,0,0,1,0,0,2,2
L25156,0,0,1,0,0,2,2
L25007,0,0,1,0,0,2,2
L23620,0,0,1,0,0,2,2
L25114,3,0,1,0,0,2,2
L25133,0,0,0.993,0,0.007,2,2
L25183,2,0,0,0,1,4,4
GB-2016-143,0,0,1,0,0,2,2
GB-2016-151,0,0,1,0,0,2,2
GB-2017-21,0,1,0,0,0,1,1
GB-2017-20,0,0,1,0,0,2,2
GB-2017-40,0,0.017,0.983,0,0,2,2
GB-2017-64,0,0,1,0,0,2,2
GB-2017-72,0,0,1,0,0,2,2
GB-2017-65,0,0,1,0,0,2,2
GB-2017-50,0,1,0,0,0,1,1
GB-2017-29,2,0,1,0,0,2,2
GB-2017-218,0,0,1,0,0,2,2
GB-2017-222,0,0,1,0,0,2,2
GB-2016-144,0,0,0.998,0,0.002,2,2
GB-2016-152,0,0,1,0,0,2,2
GB-2017-22,1,0.999,0.001,0,0,1,1
GB-2017-17,0,0,1,0,0,2,2
GB-2017-39,0,0,1,0,0,2,2
GB-2017-62,0,0,1,0,0,2,2
GB-2017-73,0,0,0.999,0,0.001,2,2
GB-2017-48,0,0.97,0.03,0,0,1,1
GB-2017-225,1,0,1,0,0,2,2
GB-2016-145,0,0,1,0,0,2,2
GB-2016-154,1,0,1,0,0,2,2
GB-2017-16,0,0,1,0,0,2,2
GB-2017-11,0,0,1,0,0,2,2
GB-2017-36,0,0,1,0,0,2,2
GB-2017-60,0,0,1,0,0,2,2
MC-2017-237,1,0,1,0,0,2,2
GB-2017-49,0,1,0,0,0,1,1
GB-2017-30,0,0,1,0,0,2,2
GB-2017-151,1,0,0.999,0,0.001,2,2
GB-2017-223,2,0,0.975,0,0.025,2,2
GB-2016-146,0,0,1,0,0,2,2
GB-2016-153,0,0,1,0,0,2,2
GB-2017-4,0,0,1,0,0,2,2
GB-2017-18,0,0,1,0,0,2,2
GB-2017-38,0,0,1,0,0,2,2
GB-2017-75,0,0,1,0,0,2,2
MC-2017-233,0,0,1,0,0,2,2
GB-2017-54,0,0,1,0,0,2,2
GB-2017-32,0,0,0.174,0,0.826,4,4
GB-2017-227,0,0,1,0,0,2,2
GB-2017-205,0,0,1,0,0,2,2
GB-2016-147,0,0,1,0,0,2,2
GB-2017-5,26,0,0.99,0,0.01,2,2
GB-2017-12,0,0,1,0,0,2,2
GB-2017-19,0,0,1,0,0,2,2
GB-2017-6,29,0,1,0,0,2,2
GB-2017-13,0,0,0.99,0,0.01,2,2
GB-2017-59,0,0.993,0.007,0,0,1,1
GB-2017-61,0,0,1,0,0,2,2
GB-2017-67,8,0,1,0,0,2,2
GB-2017-53,0,0,1,0,0,2,2
GB-2017-56,0,0,1,0,0,2,2
GB-2017-215,0,0,1,0,0,2,2
GB-2017-210,0,0,1,0,0,2,2
GB-2016-149,0,0.001,0.999,0,0,2,2
GB-2017-3,0,0,1,0,0,2,2
GB-2017-8,1,0,1,0,0,2,2
GB-2017-69,0,0,1,0,0,2,2
GB-2017-52,0,0,1,0,0,2,2
GB-2017-68,0,0,1,0,0,2,2
GB-2017-24,16,0.097,0.9,0,0.003,2,2
GB-2017-27,1,0.018,0.982,0,0,2,2
GB-2017-51,0,0,1,0,0,2,2
GB-2017-226,9,0,1,0,0,2,2
